dataset,config,n,r,ci_lo,ci_hi,ci_width
lipophilicity,names_only/wp_solubility_blind/gpt-5-nano_2024-12-01-preview/940/60,150,0.5,-11.8,15.0,26.9
lipophilicity,names_only/wp_solubility_blind/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,-27.7,-43.3,-10.7,32.6
lipophilicity,names_only/wp_solubility_blind/google/gemini-2.5-pro/940/60,150,-57.3,-70.7,-41.0,29.7
lipophilicity,names_only/wp_solubility_blind/gpt-4.1-nano_2024-12-01-preview/940/60,150,17.7,2.5,32.0,29.4
lipophilicity,names_only/wp_solubility_blind/google/gemini-2.5-flash-lite/940/60,150,-16.3,-31.7,0.2,31.9
lipophilicity,names_only/wp_sampleproperty_blind/google/gemini-2.5-flash/940/60,150,-18.1,-35.9,0.2,36.1
lipophilicity,names_only/wp_sampleproperty_blind/gpt-4.1-mini_2024-12-01-preview/940/60,150,-19.8,-35.2,-2.5,32.7
lipophilicity,names_only/wp_sampleproperty_blind/gpt-5-mini_2024-12-01-preview/940/60,150,-11.5,-24.4,1.9,26.2
lipophilicity,names_only/wp_sampleproperty_blind/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,-16.0,-31.0,-1.4,29.5
lipophilicity,names_only/wp_sampleproperty_blind/gpt-5-nano_2024-12-01-preview/940/60,150,6.0,-9.7,21.5,31.1
lipophilicity,names_only/wp_sampleproperty_blind/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,-11.5,-28.2,5.0,33.2
lipophilicity,names_only/wp_sampleproperty_blind/google/gemini-2.5-pro/940/60,150,-35.1,-47.9,-22.0,25.9
lipophilicity,names_only/wp_sampleproperty_blind/gpt-4.1-nano_2024-12-01-preview/940/60,150,-1.4,-19.3,16.3,35.6
lipophilicity,names_only/wp_sampleproperty_blind/google/gemini-2.5-flash-lite/940/60,150,-10.7,-25.5,4.8,30.3
qm7,names_only/with_preanalysis/gpt-5-nano_2024-12-01-preview/940/60,150,10.6,-4.9,26.1,31.0
qm7,names_only/with_preanalysis/gpt-5-nano_2024-12-01-preview/0/60,150,-1.2,-13.6,12.2,25.8
qm7,names_only/with_preanalysis/google/gemini-2.5-pro/940/60,150,67.6,55.7,80.5,24.8
qm7,names_only/with_preanalysis/google/gemini-2.5-pro/0/60,150,45.6,23.5,64.9,41.4
qm7,names_only/with_preanalysis/google/gemini-2.5-flash/940/60,150,6.1,-10.6,21.6,32.2
qm7,names_only/with_preanalysis/google/gemini-2.5-flash/0/60,150,6.5,-8.1,20.9,29.0
qm7,names_only/with_preanalysis/gpt-5_2024-12-01-preview/0/60,150,34.1,20.2,47.0,26.9
qm7,names_only/with_preanalysis/gpt-4.1_2024-12-01-preview/0/60,150,43.9,31.4,55.2,23.8
qm7,names_only/with_preanalysis/gpt-4.1-mini_2024-12-01-preview/940/60,150,45.3,33.4,57.3,23.9
qm7,names_only/with_preanalysis/gpt-4.1-mini_2024-12-01-preview/0/60,150,15.8,-0.0,31.6,31.6
qm7,names_only/with_preanalysis/gpt-5-mini_2024-12-01-preview/940/60,150,60.3,49.4,70.2,20.8
qm7,names_only/with_preanalysis/gpt-5-mini_2024-12-01-preview/0/60,150,23.9,8.7,38.5,29.8
qm7,names_only/with_preanalysis/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,47.8,36.9,59.9,23.0
qm7,names_only/with_preanalysis/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,71.3,63.1,78.5,15.4
qm7,names_only/with_preanalysis/gpt-4.1-nano_2024-12-01-preview/940/60,150,17.8,5.3,30.2,24.9
qm7,names_only/with_preanalysis/gpt-4.1-nano_2024-12-01-preview/0/60,150,15.5,-0.8,31.6,32.4
qm7,names_only/with_preanalysis/google/gemini-2.5-flash-lite/940/60,150,9.3,-6.6,25.1,31.7
qm7,names_only/with_preanalysis/google/gemini-2.5-flash-lite/0/60,150,-5.4,-19.9,9.4,29.3
qm7,names_only/wp_molproperty_clear/google/gemini-2.5-flash/940/60,150,14.3,-2.3,30.3,32.6
qm7,names_only/wp_molproperty_clear/gpt-4.1-mini_2024-12-01-preview/940/60,150,47.8,33.7,60.6,26.9
qm7,names_only/wp_molproperty_clear/gpt-5-mini_2024-12-01-preview/940/60,150,42.6,25.3,64.4,39.1
qm7,names_only/wp_molproperty_clear/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,50.4,36.7,65.6,29.0
qm7,names_only/wp_molproperty_clear/gpt-5-nano_2024-12-01-preview/940/60,150,2.3,-12.9,17.6,30.5
qm7,names_only/wp_molproperty_clear/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,66.7,57.3,74.6,17.3
qm7,names_only/wp_molproperty_clear/google/gemini-2.5-pro/940/60,150,66.3,52.8,78.4,25.6
qm7,names_only/wp_molproperty_clear/gpt-4.1-nano_2024-12-01-preview/940/60,150,-1.8,-19.1,21.8,40.9
qm7,names_only/wp_molproperty_clear/google/gemini-2.5-flash-lite/940/60,150,4.8,-12.0,21.4,33.4
qm7,names_only/wp_molproperty_blind/google/gemini-2.5-flash/940/60,150,-43.2,-57.4,-28.3,29.1
qm7,names_only/wp_molproperty_blind/gpt-4.1-mini_2024-12-01-preview/940/60,150,-50.9,-62.4,-38.0,24.3
qm7,names_only/wp_molproperty_blind/gpt-5-mini_2024-12-01-preview/940/60,150,-60.9,-70.7,-50.0,20.7
qm7,names_only/wp_molproperty_blind/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,-59.6,-70.5,-47.0,23.5
qm7,names_only/wp_molproperty_blind/gpt-5-nano_2024-12-01-preview/940/60,150,-4.8,-20.5,11.6,32.1
qm7,names_only/wp_molproperty_blind/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,-70.8,-78.1,-62.4,15.7
qm7,names_only/wp_molproperty_blind/google/gemini-2.5-pro/940/60,150,-75.4,-82.2,-67.2,15.0
qm7,names_only/wp_molproperty_blind/gpt-4.1-nano_2024-12-01-preview/940/60,150,-44.8,-55.8,-33.2,22.6
qm7,names_only/wp_molproperty_blind/google/gemini-2.5-flash-lite/940/60,150,-22.8,-36.9,-7.8,29.1
qm7,names_only/wp_sampleproperty_clear/google/gemini-2.5-flash/940/60,150,28.7,13.0,44.1,31.1
qm7,names_only/wp_sampleproperty_clear/gpt-4.1-mini_2024-12-01-preview/940/60,150,53.8,43.6,63.0,19.4
qm7,names_only/wp_sampleproperty_clear/gpt-5-mini_2024-12-01-preview/940/60,150,43.0,32.8,56.6,23.7
qm7,names_only/wp_sampleproperty_clear/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,53.8,42.3,64.4,22.1
qm7,names_only/wp_sampleproperty_clear/gpt-5-nano_2024-12-01-preview/940/60,150,11.9,-1.0,28.4,29.4
qm7,names_only/wp_sampleproperty_clear/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,1.1,-15.2,16.9,32.1
qm7,names_only/wp_sampleproperty_clear/google/gemini-2.5-pro/940/60,150,65.1,54.5,75.0,20.5
qm7,names_only/wp_sampleproperty_clear/gpt-4.1-nano_2024-12-01-preview/940/60,150,21.4,8.0,36.8,28.8
qm7,names_only/wp_sampleproperty_clear/google/gemini-2.5-flash-lite/940/60,150,20.7,5.6,35.6,30.0
qm7,names_only/wp_solubility_blind/google/gemini-2.5-flash/940/60,150,-10.9,-26.7,5.0,31.6
qm7,names_only/wp_solubility_blind/gpt-4.1-mini_2024-12-01-preview/940/60,150,-45.6,-59.0,-30.8,28.3
qm7,names_only/wp_solubility_blind/gpt-5-mini_2024-12-01-preview/940/60,150,-62.5,-72.1,-51.1,21.0
qm7,names_only/wp_solubility_blind/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,-57.5,-68.1,-46.4,21.7
qm7,names_only/wp_solubility_blind/gpt-5-nano_2024-12-01-preview/940/60,150,-13.5,-29.1,0.4,29.5
qm7,names_only/wp_solubility_blind/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,-72.8,-80.3,-63.7,16.5
qm7,names_only/wp_solubility_blind/google/gemini-2.5-pro/940/60,150,-71.3,-79.7,-62.2,17.5
qm7,names_only/wp_solubility_blind/gpt-4.1-nano_2024-12-01-preview/940/60,150,-36.6,-49.1,-22.6,26.6
qm7,names_only/wp_solubility_blind/google/gemini-2.5-flash-lite/940/60,150,-3.1,-18.4,12.5,30.9
qm7,names_only/wp_sampleproperty_blind/google/gemini-2.5-flash/940/60,150,-44.3,-60.2,-26.0,34.2
qm7,names_only/wp_sampleproperty_blind/gpt-4.1-mini_2024-12-01-preview/940/60,150,-51.6,-62.1,-39.5,22.6
qm7,names_only/wp_sampleproperty_blind/gpt-5-mini_2024-12-01-preview/940/60,150,-51.2,-61.2,-40.8,20.4
qm7,names_only/wp_sampleproperty_blind/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,-54.1,-65.1,-41.9,23.1
qm7,names_only/wp_sampleproperty_blind/gpt-5-nano_2024-12-01-preview/940/60,150,-18.9,-27.8,-8.4,19.4
qm7,names_only/wp_sampleproperty_blind/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,-55.9,-67.4,-43.3,24.1
qm7,names_only/wp_sampleproperty_blind/google/gemini-2.5-pro/940/60,150,-70.9,-78.4,-63.0,15.3
qm7,names_only/wp_sampleproperty_blind/gpt-4.1-nano_2024-12-01-preview/940/60,150,-38.1,-50.1,-24.8,25.3
qm7,names_only/wp_sampleproperty_blind/google/gemini-2.5-flash-lite/940/60,150,-12.9,-27.8,2.0,29.8
