sweep,level,transformed,model,m1,m2,R21,ci_lo,ci_hi,floor
Atomic weights,"1 Specific, orig.",False,GPT-5 mini,370,370,100.0,98.97239900535413,99.99999999999997,14.098750743604999
Atomic weights,"1 Specific, orig.",False,Gemini 2.5 Pro,379,379,100.0,98.99655627810561,100.0,14.098750743604999
Atomic weights,"1 Specific, orig.",False,GPT-4.1,373,373,100.0,98.980579638766,100.0,14.098750743604999
Atomic weights,"1 Specific, orig.",False,Gemini 2.5 Flash-Lite,372,371,99.73118279569893,98.49319558776337,99.95253261262745,14.098750743604999
Atomic weights,"2 Specific, transf.",True,GPT-5,332,244,73.49397590361446,68.49710209991936,77.95336740713398,11.875
Atomic weights,"2 Specific, transf.",True,Gemini 2.5 Flash,231,175,75.75757575757575,69.83893151847742,80.83352174363627,11.875
Atomic weights,"2 Specific, transf.",True,GPT-4.1 mini,328,269,82.01219512195122,77.49246106572134,85.79074393329023,11.875
Atomic weights,"2 Specific, transf.",True,GPT-5 nano,33,0,0.0,0.0,10.427343003561191,11.875
Atomic weights,"2 Specific, transf.",True,GPT-4.1 nano,97,18,18.556701030927837,12.072806645374706,27.436284840678667,11.875
Atomic weights,"2 Specific, transf.",True,GPT-5 mini,33,0,0.0,0.0,10.427343003561191,11.875
Atomic weights,"2 Specific, transf.",True,Gemini 2.5 Pro,362,306,84.5303867403315,80.4445193817256,87.89106629251154,11.875
Atomic weights,"2 Specific, transf.",True,GPT-4.1,347,324,93.37175792507205,90.25068732655987,95.54301558666364,11.875
Atomic weights,"2 Specific, transf.",True,Gemini 2.5 Flash-Lite,294,256,87.07482993197279,82.75671683794903,90.4365509930054,11.875
Atomic weights,"3 Generic, orig.",False,GPT-5,371,371,100.0,98.9751404326521,100.0,14.098750743604999
Atomic weights,"3 Generic, orig.",False,Gemini 2.5 Flash,374,374,100.0,98.98327764862313,99.99999999999999,14.098750743604999
Atomic weights,"3 Generic, orig.",False,GPT-4.1 mini,370,370,100.0,98.97239900535413,99.99999999999997,14.098750743604999
Atomic weights,"3 Generic, orig.",False,GPT-5 nano,373,372,99.73190348525469,98.49719275695932,99.95265991323421,14.098750743604999
Atomic weights,"3 Generic, orig.",False,GPT-4.1 nano,371,370,99.73045822102426,98.48917709858507,99.95240462553521,14.098750743604999
Atomic weights,"3 Generic, orig.",False,GPT-5 mini,365,365,100.0,98.95846889287975,99.99999999999999,14.098750743604999
Atomic weights,"3 Generic, orig.",False,Gemini 2.5 Pro,382,382,100.0,99.00435826515337,100.0,14.098750743604999
Atomic weights,"3 Generic, orig.",False,GPT-4.1,370,370,100.0,98.97239900535413,99.99999999999997,14.098750743604999
Atomic weights,"3 Generic, orig.",False,Gemini 2.5 Flash-Lite,380,380,100.0,98.99917049116094,100.0,14.098750743604999
Atomic weights,"4 Generic, transf.",True,GPT-5,188,64,34.04255319148936,27.64904331758929,41.07515414531761,11.875
Atomic weights,"4 Generic, transf.",True,Gemini 2.5 Flash,215,84,39.06976744186046,32.794396454580145,45.7288824832452,11.875
Atomic weights,"4 Generic, transf.",True,GPT-4.1 mini,176,39,22.15909090909091,16.654706350320463,28.852895895211155,11.875
Atomic weights,"4 Generic, transf.",True,GPT-5 nano,46,5,10.869565217391305,4.733076082742689,23.038103012631456,11.875
Atomic weights,"4 Generic, transf.",True,GPT-4.1 nano,114,15,13.157894736842104,8.138578986699036,20.57929313995233,11.875
Atomic weights,"4 Generic, transf.",True,GPT-5 mini,84,10,11.904761904761905,6.5964782536511,20.54510386689315,11.875
Atomic weights,"4 Generic, transf.",True,Gemini 2.5 Pro,215,67,31.162790697674417,25.348058156832547,37.63886937431327,11.875
Atomic weights,"4 Generic, transf.",True,GPT-4.1,226,86,38.05309734513274,31.972684478333026,44.53287413246675,11.875
Atomic weights,"4 Generic, transf.",True,Gemini 2.5 Flash-Lite,212,84,39.62264150943396,33.279475143119434,46.335205252133385,11.875
